Name, Time(s), Memory(MB)
univ_4_short.sl, timeout, skipped
univ_4-long.sl, timeout, skipped
univ_4-long-repeat.sl, timeout, skipped
univ_4.sl, timeout, skipped
39060015.sl, timeout, skipped
phone-6-short.sl, 0.006586, 5.19921875
phone-6.sl, 0.006575, 5.1953125
phone-6-long-repeat.sl, 0.006864, 6.55078125
phone-6-long.sl, 0.00661, 5.51171875
30732554.sl, 0.177225, 22.203125
2171308.sl, 0.005153, 5.06640625
firstname.sl, 0.000778, 4.6953125
firstname-long-repeat.sl, 0.000961, 5.59375
firstname-long.sl, 0.000826, 4.765625
firstname_small.sl, 0.000796, 4.50390625
stackoverflow4.sl, 2.656587, 157.390625
get-last-name-from-name.sl, 0.003607, 5.015625
stackoverflow6.sl, 16.170974, 201.77734375
exceljet3.sl, 0.015811, 6.48046875
get-first-name-from-name.sl, 0.001948, 4.625
cell-contains-one-of-many-with-exclusions.sl, 0.826276, 121.515625
split-numbers-from-units-of-measure_2.sl, 0.065716, 10.63671875
19274448.sl, 0.008263, 5.84765625
phone-10-long.sl, 6.014725, 318.046875
phone-10.sl, 6.157152, 317.765625
phone-10-long-repeat.sl, 6.106234, 318.828125
phone-10_short.sl, 6.056921, 317.79296875
cell-contains-some-words-but-not-others.sl, 0.012448, 6.5234375
add-a-line-break-with-a-formula.sl, 0.037589, 8.2578125
11440431.sl, timeout, skipped
stackoverflow2.sl, 0.192619, 23.1015625
split-text-string-at-specific-character.sl, 1.067544, 92.09375
strip-non-numeric-characters.sl, 80.581098, 2086.28125
remove-file-extension-from-filename.sl, 0.002371, 4.63671875
strip-numeric-characters-from-cell.sl, 48.678633, 2401.6953125
initials.sl, 0.005491, 5.21484375
initials-long.sl, 0.005851, 5.48046875
initials_small.sl, 0.00548, 5.21875
initials-long-repeat.sl, 0.005954, 5.55859375
28627624_1.sl, 2.488136, 235.96484375
convert-text-to-numbers.sl, 0.001321, 4.671875
count-consecutive-monthly-orders.sl, timeout, skipped
count-specific-words-in-a-cell.sl, 0.076433, 13.31640625
univ_3.sl, 1.83681, 138.73828125
univ_3-long.sl, 2.879389, 208.78125
univ_3_short.sl, 1.843748, 138.84375
univ_3-long-repeat.sl, 2.591973, 189.75
reverse-name.sl, 0.001192, 4.8515625
reverse-name_short.sl, 0.001206, 4.5625
reverse-name-long.sl, 0.001181, 4.97265625
reverse-name-long-repeat.sl, 0.001252, 5.86328125
exceljet4.sl, 0.02984, 6.84375
36462127.sl, 0.327223, 34.60546875
43606446.sl, 0.097322, 16.21484375
11604909.sl, 0.090955, 15.66015625
stackoverflow8.sl, 0.014639, 6.0234375
get-first-name-from-name-with-comma.sl, 0.331507, 32.83203125
40498040.sl, timeout, skipped
44789427.sl, 0.847217, 77.59375
phone-5-long-repeat.sl, 0.02622, 8.734375
phone-5-short.sl, 0.025709, 7.75390625
phone-5-long.sl, 0.026017, 7.94140625
phone-5.sl, 0.025799, 7.52734375
43120683.sl, timeout, skipped
12948338.sl, timeout, skipped
33619752.sl, timeout, skipped
stackoverflow3.sl, 0.301914, 30.86328125
count-line-breaks-in-cell.sl, 64.107877, 3171.1640625
get-last-word.sl, 0.014868, 6.14453125
